word,tag,x_coord,y_coord,count,frequence,opacity,pos_tag,true_tag
Like,Other,63.29,7.16,21001,0.011997,1.0,IN,other
One,Other,57.13,50.85,16166,0.009235,1.0,CD,other
Said,Verb,15.12,107.7,15940,0.0091059,1.0,VBD,verb
Get,Verb,28.45,97.72,14648,0.0083678,1.0,VB,verb
Go,Verb,25.56,98.17,13872,0.007924500000000001,1.0,VB,verb
Back,Adverb,89.93,40.0,12848,0.0073395,1.0,RB,adverb
See,Verb,79.91,6.64,11826,0.0067557,1.0,VB,verb
Going,Verb,37.14,46.93,11752,0.0067134000000000004,1.0,VBG,verb
Went,Verb,96.88,-7.57,11439,0.006534600000000001,1.0,VBD,verb
Something,Noun,-4.38,98.53,11272,0.0064392,1.0,NN,noun
People,Noun,58.7,56.46,10944,0.0062518999999999995,1.0,NNS,noun
Got,Verb,97.9,-7.98,9904,0.0056578,1.0,VBD,verb
Room,Noun,68.07,45.19,9791,0.0055931999999999996,1.0,NN,noun
Around,Other,109.46,-20.28,8152,0.004656899999999999,1.0,IN,other
Dont,Verb,13.53,95.32,8021,0.0045821,1.0,VBP,verb
Know,Verb,2.14,103.13,7616,0.0043507,1.0,VB,verb
Didnt,Verb,-3.49,109.86,7576,0.0043279,1.0,VBP,verb
House,Noun,8.51,51.8,7508,0.004289,1.0,NN,noun
Think,Verb,1.92,103.57,7448,0.004254699999999999,1.0,VBP,verb
Us,Other,59.74,56.53,7218,0.004123399999999999,1.0,PRP,other
Would,Other,-1.94,109.42,7111,0.0040622,1.0,MD,other
Guy,Noun,88.67,-11.65,6565,0.0037503,1.0,NN,noun
Mom,Proper Noun,16.72,52.11,6515,0.0037218000000000004,1.0,NNP,proper noun
Say,Verb,20.27,98.74,6090,0.003479,1.0,VBP,verb
Car,Noun,119.49,-24.75,5963,0.0034064,1.0,NN,noun
Two,Other,56.44,50.51,5922,0.0033829999999999997,1.0,CD,other
Really,Adverb,2.27,99.63,5892,0.0033659,1.0,RB,adverb
Came,Verb,96.79,-7.66,5742,0.0032802,1.0,VBD,verb
Thing,Noun,84.88,-6.63,5709,0.0032613,1.0,NN,noun
Someone,Noun,-5.04,98.96,5677,0.003243,1.0,NN,noun
Could,Other,-2.6,109.22,5552,0.0031715999999999997,1.0,MD,other
Time,Noun,-17.13,101.51,5380,0.0030734,1.0,NN,noun
Little,Adjective,65.27,7.27,4884,0.00279,1.0,JJ,adjective
Left,Verb,-12.83,112.63,4768,0.0027238,1.0,VBD,verb
Says,Verb,20.28,98.67,4753,0.0027151999999999996,1.0,VBZ,verb
Look,Verb,79.98,6.63,4751,0.0027140999999999997,1.0,VBP,verb
School,Noun,-51.55,99.29,4739,0.0027072,1.0,NN,noun
Kind,Noun,8.84,105.89,4703,0.0026866,1.0,NN,noun
Place,Noun,87.5,-44.7,4694,0.0026815000000000003,1.0,NN,noun
Trying,Verb,97.51,-16.77,4682,0.0026746,1.0,VBG,verb
Put,Verb,62.8,25.57,4620,0.0026392,1.0,VB,verb
Things,Noun,66.2,28.63,4612,0.0026346,1.0,NNS,noun
Woman,Noun,34.6,72.27,4605,0.0026306,1.0,NN,noun
Another,Other,23.11,46.05,4553,0.0026009,1.0,DT,other
Remember,Verb,1.65,104.19,4397,0.0025118000000000002,1.0,VB,verb
Home,Noun,13.11,52.43,4234,0.0024186999999999998,1.0,NN,noun
Talking,Verb,-12.45,88.62,4160,0.0023764,1.0,VBG,verb
Way,Noun,110.76,-23.02,4155,0.0023736,1.0,NN,noun
Girl,Noun,-71.85,80.2,4112,0.002349,1.0,NN,noun
Asked,Verb,15.12,107.77,4101,0.0023427,1.0,VBD,verb
Next,Adjective,69.58,57.88,4096,0.0023399000000000002,1.0,JJ,adjective
Take,Verb,54.75,40.78,4079,0.0023302,1.0,VB,verb
Started,Verb,92.61,-11.02,3999,0.0022845,1.0,VBD,verb
Told,Verb,-7.92,108.79,3959,0.0022616,1.0,VBD,verb
Big,Adjective,103.23,-1.56,3953,0.0022581999999999997,1.0,JJ,adjective
Away,Adverb,99.77,-18.2,3916,0.0022370999999999997,1.0,RB,adverb
Find,Verb,-19.22,111.87,3901,0.0022285,1.0,VB,verb
Thought,Verb,-8.19,106.81,3896,0.0022256,1.0,VBD,verb
Dream,Noun,49.44,62.53,3834,0.0021902,1.0,NN,noun
Looking,Verb,81.72,4.66,3815,0.0021794,1.0,VBG,verb
Dad,Proper Noun,16.73,52.14,3796,0.0021685,1.0,NNP,proper noun
Stuff,Noun,66.02,28.79,3796,0.0021685,1.0,NN,noun
Outside,Other,105.58,10.74,3735,0.0021337,1.0,IN,other
Right,Adjective,110.69,-4.65,3706,0.0021171,1.0,JJ,adjective
Saw,Verb,95.17,-5.86,3701,0.0021142,1.0,VBD,verb
Ezra,Proper Noun,16.68,51.48,3658,0.0020897,1.0,NNP,proper noun
Cant,Verb,13.48,95.62,3582,0.0020463,1.0,VBP,verb
Wanted,Verb,-4.75,107.38,3532,0.0020177,1.0,VBD,verb
First,Adjective,61.74,51.69,3498,0.0019983,1.0,JJ,adjective
Looked,Verb,94.94,-5.43,3486,0.0019914,1.0,VBD,verb
Walk,Verb,113.1,-20.43,3484,0.0019903,1.0,VBP,verb
Water,Noun,99.37,-44.82,3359,0.0019189,1.0,NN,noun
Well,Noun,5.07,99.58,3355,0.0019166,1.0,NN,noun
Front,Noun,69.75,60.64,3348,0.0019125999999999998,1.0,NN,noun
Tell,Verb,18.58,96.74,3318,0.0018954,1.0,VB,verb
Wasnt,Verb,-6.4,111.13,3255,0.0018594000000000002,1.0,VBP,verb
Friend,Noun,0.85,43.55,3183,0.0018183,1.0,NN,noun
Old,Adjective,37.9,98.44,3167,0.0018092,1.0,JJ,adjective
Later,Proper Noun,-11.44,110.8,3159,0.0018046,1.0,NNP,proper noun
Feel,Verb,35.02,84.72,3135,0.0017909000000000004,1.0,VBP,verb
Sitting,Verb,68.26,56.99,3120,0.0017823000000000001,1.0,VBG,verb
Walking,Verb,113.15,-20.42,3041,0.0017372,1.0,VBG,verb
Getting,Verb,56.52,40.03,3019,0.0017246,1.0,VBG,verb
Different,Adjective,74.36,20.79,2974,0.0016989000000000001,1.0,JJ,adjective
Side,Noun,110.62,-4.61,2938,0.0016784000000000002,1.0,NN,noun
Small,Adjective,84.05,10.23,2907,0.0016607,1.0,JJ,adjective
Bed,Noun,54.08,63.7,2882,0.0016464000000000001,1.0,NN,noun
Still,Adverb,-1.54,106.44,2846,0.0016258,1.0,RB,adverb
Make,Verb,5.64,92.78,2841,0.0016228999999999998,1.0,VB,verb
Good,Adjective,-9.45,83.27,2798,0.0015984000000000007,1.0,JJ,adjective
Couldnt,Verb,97.9,-16.09,2761,0.0015772,1.0,VBP,verb
Long,Adjective,94.57,34.19,2753,0.0015727,1.0,JJ,adjective
Leave,Verb,27.02,98.86,2619,0.0014960999999999998,1.0,VB,verb
Took,Verb,60.17,24.73,2615,0.0014938,1.0,VBD,verb
Work,Noun,-32.17,97.94,2603,0.0014869999999999998,1.0,NN,noun
Called,Verb,-28.51,109.95,2578,0.0014727,1.0,VBD,verb
Comes,Verb,34.8,73.86,2540,0.001451,1.0,VBZ,verb
Though,Other,5.16,105.63,2537,0.0014493,1.0,IN,other
Try,Verb,36.63,68.72,2482,0.0014179,1.0,VBP,verb
Made,Verb,50.1,15.02,2454,0.0014019,1.0,VBD,verb
Ask,Verb,20.31,97.36,2445,0.0013967,1.0,VBP,verb
Much,Adjective,3.14,96.28,2408,0.0013755999999999998,1.0,JJ,adjective
Else,Adverb,-2.9,101.06,2398,0.0013699,1.0,RB,adverb
Bit,Noun,65.0,7.27,2395,0.0013682,1.0,NN,noun
Kept,Verb,92.33,-11.37,2386,0.001363,1.0,VBD,verb
Hes,Proper Noun,15.3,97.86,2373,0.0013556,1.0,NNP,proper noun
Floor,Noun,95.94,5.8,2357,0.0013465,1.0,NN,noun
Thinking,Verb,-8.11,106.69,2348,0.0013413000000000001,1.0,VBG,verb
Black,Adjective,87.32,21.34,2341,0.0013373,1.0,JJ,adjective
Maybe,Adverb,6.45,102.47,2336,0.0013345,1.0,RB,adverb
Help,Verb,29.44,95.36,2304,0.0013162,1.0,VB,verb
Others,Noun,59.34,56.5,2296,0.0013116,1.0,NNS,noun
Coming,Verb,110.12,-15.46,2276,0.0013002,1.0,VBG,verb
Talk,Verb,18.2,96.98,2269,0.0012962,1.0,VB,verb
Realized,Verb,-11.45,107.0,2261,0.0012916,1.0,VBD,verb
Ran,Verb,95.24,-13.81,2244,0.0012819,1.0,VBD,verb
Even,Adverb,3.79,104.74,2236,0.0012772999999999999,1.0,RB,adverb
Watching,Verb,-71.76,70.93,2227,0.0012722,1.0,VBG,verb
Behind,Other,69.27,62.24,2221,0.0012687999999999998,1.0,IN,other
Saying,Verb,13.68,104.34,2211,0.0012630999999999999,1.0,VBG,verb
Open,Adjective,104.07,12.36,2208,0.0012613,1.0,JJ,adjective
Found,Verb,60.34,41.24,2203,0.0012585,1.0,VBD,verb
